Entidad,Superficie Sembrada,Superficie Cosechada,Superficie Siniestrada,Producción,Rendimiento,PMR,Valor Producción
Baja California Sur,827,827,0,26464,32,5587.02,147854.9
Coahuila,395,395,0,14385.25,36.42,7829.76,112633.03
Chihuahua,1050,1050,0,41535,39.56,8558.16,355463.02
México,190.82,190.82,0,5349.21,28.03,7983.16,42703.62
Nuevo León,3069,3069,0,120570.1,39.29,12099.63,1458853.51
Puebla,1370.33,1331.33,39,36650.15,27.53,4391.03,160931.94
San Luis Potosí,70,70,0,1869,26.7,7761.84,14506.88
Sonora,4987.8,4987.8,0,213390.66,42.78,6923.54,1477419.68
Tamaulipas,30,30,0,1035,34.5,5600,5796
Tlaxcala,21,21,0,772.79,36.8,4147.54,3205.17
Veracruz,1874,1874,0,80269.38,42.83,9646.87,774348.41
Zacatecas,460.5,460.5,0,17949.28,38.98,9076.84,162922.78
Total,14345.45,14306.45,39,560239.82,39.16,8418.96,4716638.93
