Ano,Superficie_Sembrada,Superficie_Cosechada,Superficie_Siniestrada,Valor_de_la_Produccion
1990,3629,3570,59,29531.19
1991,3353,3332,21,55527.93
1992,4301,4171,130,81664.15
1993,4243,4178,65,87689.2
1994,3120,3102,18,129583.74
1995,4020,3999,21,104484.27
1996,3509,3507,2,251757.1
1997,3926,3924,2,261357.33
1998,3768,3761,7,319722.27
1999,5389,5379,10,455063.61
2000,6812,6811,1,348725.53
2001,6938,6936,2,390602.89
2002,7322.25,7322.25,0,705030.39
2003,8463.5,8463.5,0,947564.09
2004,10322,6235,4087,740353.61
2005,11880,11880,0,1417219.97
2006,9908,9898,10,1493503.15
2007,12075,11854,221,1789034.2
2008,11648,11645,3,2145930.14
2009,10809,10798,11,2977257
2010,12212,12212,0,2660464.3
2011,13913,8495,5418,2024042.95
2012,13249.25,13249.25,0,2397360.56
2013,11601,11086,515,2414893.21
2014,11720.5,11718.5,2,3515349.14
2015,12839.5,12839.5,0,3315051.89
2016,13592.2,13542.2,50,2797820.95
2017,12695,12695,0,2763560.65
2018,11535.45,11535.45,0,3436177.76
2019,14193.07,12941.07,1252,3520299.85
